city,pairs,dist.hours.distances,hue.dist
Albuquerque,|0 - 1|,1,0.0162073448190804
Albuquerque,|0 - 10|,10,0.0321336391883728
Albuquerque,|0 - 11|,11,0.0463081882680971
Albuquerque,|0 - 12|,12,0.0405003089462012
Albuquerque,|0 - 13|,11,0.0399617437892082
Albuquerque,|0 - 14|,10,0.0501444397794208
Albuquerque,|0 - 15|,9,0.0432909978548666
Albuquerque,|0 - 16|,8,0.0477079769454245
Albuquerque,|0 - 17|,7,0.0440769294452854
Albuquerque,|0 - 18|,6,0.0491051868581395
Albuquerque,|0 - 19|,5,0.0482113797384129
Albuquerque,|0 - 2|,2,0.0290254840557337
Albuquerque,|0 - 20|,4,0.0297182735343034
Albuquerque,|0 - 21|,3,0.0202699493566813
Albuquerque,|0 - 22|,2,0.0116210180360217
Albuquerque,|0 - 23|,1,0.0131115310831144
Albuquerque,|0 - 3|,3,0.0412929130147571
Albuquerque,|0 - 4|,4,0.0456133064011676
Albuquerque,|0 - 5|,5,0.0397707710441589
Albuquerque,|0 - 6|,6,0.033853232377941
Albuquerque,|0 - 7|,7,0.0411904932820772
Albuquerque,|0 - 8|,8,0.0363605614172194
Albuquerque,|0 - 9|,9,0.0348176295498232
Albuquerque,|1 - 10|,9,0.02410331470397
Albuquerque,|1 - 11|,10,0.0364750062314323
Albuquerque,|1 - 12|,11,0.0310776101028151
Albuquerque,|1 - 13|,12,0.0313150030829685
Albuquerque,|1 - 14|,11,0.0411195032651297
Albuquerque,|1 - 15|,10,0.0334348284381456
Albuquerque,|1 - 16|,9,0.0383342641390381
Albuquerque,|1 - 17|,8,0.0341774027388483
Albuquerque,|1 - 18|,7,0.03887581058314
Albuquerque,|1 - 19|,6,0.0387577168330663
Albuquerque,|1 - 2|,1,0.0168132896768285
Albuquerque,|1 - 20|,5,0.0191428075815751
Albuquerque,|1 - 21|,4,0.0124612724190083
Albuquerque,|1 - 22|,3,0.0106344269065848
Albuquerque,|1 - 23|,2,0.0112731063102589
Albuquerque,|1 - 3|,2,0.0304807263396058
Albuquerque,|1 - 4|,3,0.0357486463329214
Albuquerque,|1 - 5|,4,0.0302123141762014
Albuquerque,|1 - 6|,5,0.0249812016055187
Albuquerque,|1 - 7|,6,0.0329763265474826
Albuquerque,|1 - 8|,7,0.0297266145017761
Albuquerque,|1 - 9|,8,0.0263195539851988
Albuquerque,|10 - 11|,1,0.0161000096985964
Albuquerque,|10 - 12|,2,0.0113851616570725
Albuquerque,|10 - 13|,3,0.0114937750514101
Albuquerque,|10 - 14|,4,0.0203550543087181
Albuquerque,|10 - 15|,5,0.0137582889907316
Albuquerque,|10 - 16|,6,0.0179676910911318
Albuquerque,|10 - 17|,7,0.014260590212519
Albuquerque,|10 - 18|,8,0.0191908359926084
Albuquerque,|10 - 19|,9,0.0182068454490004
Albuquerque,|10 - 20|,10,0.0125832346630205
Albuquerque,|10 - 21|,11,0.0168946050847562
Albuquerque,|10 - 22|,12,0.0291006504760347
Albuquerque,|10 - 23|,11,0.0308833996985787
Albuquerque,|11 - 12|,1,0.00813750102271702
Albuquerque,|11 - 13|,2,0.0103873771587546
Albuquerque,|11 - 14|,3,0.00842677612431249
Albuquerque,|11 - 15|,4,0.0073305675629656
Albuquerque,|11 - 16|,5,0.00735820192834833
Albuquerque,|11 - 17|,6,0.0066963486471224
Albuquerque,|11 - 18|,7,0.00932357935843866
Albuquerque,|11 - 19|,8,0.00982605186008408
Albuquerque,|11 - 20|,9,0.0211832178875876
Albuquerque,|11 - 21|,10,0.0298334090065018
Albuquerque,|11 - 22|,11,0.0424288517698756
Albuquerque,|11 - 23|,12,0.0439907869135463
Albuquerque,|12 - 13|,1,0.00776925445289258
Albuquerque,|12 - 14|,2,0.0127191000960827
Albuquerque,|12 - 15|,3,0.00794407597527923
Albuquerque,|12 - 16|,4,0.00980132953981309
Albuquerque,|12 - 17|,5,0.00750893366932958
Albuquerque,|12 - 18|,6,0.0128179879981227
Albuquerque,|12 - 19|,7,0.0130958168089616
Albuquerque,|12 - 20|,8,0.0172593940885665
Albuquerque,|12 - 21|,9,0.0248077680167809
Albuquerque,|12 - 22|,10,0.0368993237741246
Albuquerque,|12 - 23|,11,0.0384685737300985
Albuquerque,|13 - 14|,1,0.0123150613611909
Albuquerque,|13 - 15|,2,0.00734955300750372
Albuquerque,|13 - 16|,3,0.00967600367088621
Albuquerque,|13 - 17|,4,0.00863316666598105
Albuquerque,|13 - 18|,5,0.0118644151034162
Albuquerque,|13 - 19|,6,0.0112611497180891
Albuquerque,|13 - 20|,7,0.0189438558538381
Albuquerque,|13 - 21|,8,0.0240958317675644
Albuquerque,|13 - 22|,9,0.0370246230451534
Albuquerque,|13 - 23|,10,0.0388318946182851
Albuquerque,|14 - 15|,1,0.0100202709247069
Albuquerque,|14 - 16|,2,0.0062609646877702
Albuquerque,|14 - 17|,3,0.0108146013195824
Albuquerque,|14 - 18|,4,0.00956044411196826
Albuquerque,|14 - 19|,5,0.00868629177102805
Albuquerque,|14 - 20|,6,0.0267636366702885
Albuquerque,|14 - 21|,7,0.0339119702447551
Albuquerque,|14 - 22|,8,0.047201169616291
Albuquerque,|14 - 23|,9,0.048862593736992
Albuquerque,|15 - 16|,1,0.00733548408074665
Albuquerque,|15 - 17|,2,0.00615648724963789
Albuquerque,|15 - 18|,3,0.00893867566883543
Albuquerque,|15 - 19|,4,0.00916365755939883
Albuquerque,|15 - 20|,5,0.0196469101993052
Albuquerque,|15 - 21|,6,0.0266135974648436
Albuquerque,|15 - 22|,7,0.0397351848387413
Albuquerque,|15 - 23|,8,0.0411252357539396
Albuquerque,|16 - 17|,1,0.00788735520255335
Albuquerque,|16 - 18|,2,0.00868268177094434
Albuquerque,|16 - 19|,3,0.00873789468349334
Albuquerque,|16 - 20|,4,0.0244488570671919
Albuquerque,|16 - 21|,5,0.031501708644849
Albuquerque,|16 - 22|,6,0.0445551692461417
Albuquerque,|16 - 23|,7,0.0461476703020533
Albuquerque,|17 - 18|,1,0.00941141016621152
Albuquerque,|17 - 19|,2,0.00994815896817648
Albuquerque,|17 - 20|,3,0.0198117632230035
Albuquerque,|17 - 21|,4,0.0274454686938383
Albuquerque,|17 - 22|,5,0.0401966406360745
Albuquerque,|17 - 23|,6,0.0416613367138602
Albuquerque,|18 - 19|,1,0.00635687847897667
Albuquerque,|18 - 20|,2,0.0237503412594376
Albuquerque,|18 - 21|,3,0.0312642593884953
Albuquerque,|18 - 22|,4,0.0448917705889781
Albuquerque,|18 - 23|,5,0.0462793519704606
Albuquerque,|19 - 20|,1,0.0239300336980953
Albuquerque,|19 - 21|,2,0.0306852488184168
Albuquerque,|19 - 22|,3,0.0447025845556771
Albuquerque,|19 - 23|,4,0.046185250146442
Albuquerque,|2 - 10|,8,0.0184877424867945
Albuquerque,|2 - 11|,9,0.0257010411064748
Albuquerque,|2 - 12|,10,0.0209893810321564
Albuquerque,|2 - 13|,11,0.021868921311852
Albuquerque,|2 - 14|,12,0.0304271133677794
Albuquerque,|2 - 15|,11,0.0228202624009398
Albuquerque,|2 - 16|,10,0.0274708926606289
Albuquerque,|2 - 17|,9,0.0237894765859054
Albuquerque,|2 - 18|,8,0.0276988164917396
Albuquerque,|2 - 19|,7,0.0288757208226533
Albuquerque,|2 - 20|,6,0.0137218203514617
Albuquerque,|2 - 21|,5,0.0159532652089865
Albuquerque,|2 - 22|,4,0.0231340597314726
Albuquerque,|2 - 23|,3,0.0241856565878492
Albuquerque,|2 - 3|,1,0.0205101449923695
Albuquerque,|2 - 4|,2,0.0270328772204737
Albuquerque,|2 - 5|,3,0.0217105961033299
Albuquerque,|2 - 6|,4,0.0177133584413506
Albuquerque,|2 - 7|,5,0.0239421412232789
Albuquerque,|2 - 8|,6,0.0233038124014127
Albuquerque,|2 - 9|,7,0.0195364748205457
Albuquerque,|20 - 21|,1,0.0126481831234618
Albuquerque,|20 - 22|,2,0.0233737739658338
Albuquerque,|20 - 23|,3,0.0247290821410319
Albuquerque,|21 - 22|,1,0.0153423128502213
Albuquerque,|21 - 23|,2,0.0168841548756885
Albuquerque,|22 - 23|,1,0.00564739456821605
Albuquerque,|3 - 10|,7,0.0182742546081945
Albuquerque,|3 - 11|,8,0.0174773104663133
Albuquerque,|3 - 12|,9,0.0162166986583975
Albuquerque,|3 - 13|,10,0.0157029069534007
Albuquerque,|3 - 14|,11,0.020862639786894
Albuquerque,|3 - 15|,12,0.0163025418794089
Albuquerque,|3 - 16|,11,0.0186016932429786
Albuquerque,|3 - 17|,10,0.0166700281861671
Albuquerque,|3 - 18|,9,0.0164009085954376
Albuquerque,|3 - 19|,8,0.0177317573989973
Albuquerque,|3 - 20|,7,0.0187957438058364
Albuquerque,|3 - 21|,6,0.0240889382904778
Albuquerque,|3 - 22|,5,0.0362486509004284
Albuquerque,|3 - 23|,4,0.0377374264923654
Albuquerque,|3 - 4|,1,0.0235014581585819
Albuquerque,|3 - 5|,2,0.0179164766264424
Albuquerque,|3 - 6|,3,0.0205501749328692
Albuquerque,|3 - 7|,4,0.023978660777978
Albuquerque,|3 - 8|,5,0.019878217840172
Albuquerque,|3 - 9|,6,0.0185576850026762
Albuquerque,|4 - 10|,6,0.0241957029519467
Albuquerque,|4 - 11|,7,0.0236943465827656
Albuquerque,|4 - 12|,8,0.024000161879864
Albuquerque,|4 - 13|,9,0.0243126333028247
Albuquerque,|4 - 14|,10,0.0272322310152323
Albuquerque,|4 - 15|,11,0.022735824642504
Albuquerque,|4 - 16|,12,0.026230554290523
Albuquerque,|4 - 17|,11,0.0222441138802577
Albuquerque,|4 - 18|,10,0.0221863641918934
Albuquerque,|4 - 19|,9,0.0234703853474766
Albuquerque,|4 - 20|,8,0.0213922013053812
Albuquerque,|4 - 21|,7,0.0284547011007194
Albuquerque,|4 - 22|,6,0.0393712369158667
Albuquerque,|4 - 23|,5,0.0401073974159319
Albuquerque,|4 - 5|,1,0.0245284594385498
Albuquerque,|4 - 6|,2,0.0271406760631407
Albuquerque,|4 - 7|,3,0.0307065781972505
Albuquerque,|4 - 8|,4,0.0297675182501507
Albuquerque,|4 - 9|,5,0.0251570410474521
Albuquerque,|5 - 10|,5,0.015536946778713
Albuquerque,|5 - 11|,6,0.016051022937019
Albuquerque,|5 - 12|,7,0.0137831538813536
Albuquerque,|5 - 13|,8,0.0145029255159808
Albuquerque,|5 - 14|,9,0.0203827692257738
Albuquerque,|5 - 15|,10,0.0155204930201288
Albuquerque,|5 - 16|,11,0.0183525372831991
Albuquerque,|5 - 17|,12,0.0148989534707755
Albuquerque,|5 - 18|,11,0.0179581680549871
Albuquerque,|5 - 19|,10,0.0184641952159854
Albuquerque,|5 - 20|,9,0.0171195416751775
Albuquerque,|5 - 21|,8,0.0239692309316924
Albuquerque,|5 - 22|,7,0.0352507118844399
