city,Hbin.00,Hbin.01,Hbin.02,Hbin.03,Hbin.04,Hbin.05,Hbin.06,Hbin.07,Hbin.08,Hbin.09,Hbin.10,Hbin.11,Hbin.12
Albuquerque,3.17453603912893,3.17114306027915,3.17111353729075,3.14646282745425,3.12977951763424,3.09639308420736,3.12058873428605,3.15432778373205,3.16196833149739,3.16816170980494,3.10639560689737,3.14314753153023,3.16725980639153
Anaheim,3.17461856411522,3.17574192772161,3.17626888062274,3.17397510499346,3.16200019503196,3.15167813642948,3.13402386963202,3.16710269478441,3.1673156033251,3.1637358519252,3.13039977796475,3.12700394796035,3.17324631521904
Arlington,3.17295074345625,3.17483044467557,3.17440572711323,3.16825633203433,3.15894456409534,3.09655302849916,3.11939904773361,3.15588213994698,3.1614625845699,3.17312281923962,3.0759258258581,3.0673738231415,3.15843272000905
Atlanta,3.1729825700685,3.17693455752753,3.17208006753834,3.17083626136583,3.158603683959,3.15319252132349,3.1476167847776,3.16057938776351,3.1701848288022,3.16915654514177,3.14217635191611,3.12532553061422,3.17087535542974
Aurora,3.17469930315475,3.1655349763706,3.17173474722679,3.15530347846577,3.11267039926126,2.99205838302828,3.10213319667142,3.14521159823648,3.16532327647526,3.14811809430766,3.09686306487745,3.09659981926229,3.13659591247173
Austin,3.17453984047613,3.17650385807266,3.17342812375743,3.17310251578136,3.16256826073696,3.15166750021125,3.15185035733749,3.16346805860306,3.17089886247281,3.16693373898466,3.15279833329602,3.14337608282324,3.17053851741832
Bakersfield,3.17483477820321,3.17389594048769,3.16954783844579,3.15880547901252,3.1251938592352,3.12386098916159,3.14489643857418,3.15821027056249,3.16857631711955,3.16562052844936,3.14941941768021,3.13328830405541,3.16346591346985
Baltimore,3.17367001621988,3.17447809646778,3.17573898411461,3.16318859373532,3.15780496591266,3.12812477388762,3.13820493717051,3.15006518805028,3.16015783498786,3.16609977925908,3.12655545892268,3.13314232170333,3.16151752818284
Boston,3.17477133164674,3.17538620081302,3.17548589984891,3.17304753185476,3.16945576918327,3.13824754071235,3.16229839019143,3.16021363790811,3.15988151692527,3.16845883812561,3.15991477956504,3.14718570072904,3.16986632833568
Charlotte,3.17389925505749,3.1741453845127,3.17608573081137,3.17286017542513,3.16744187301328,3.1223269154197,3.15599400541305,3.15673225830902,3.17001532581477,3.17047053032591,3.15320207096489,3.16389177001165,3.17147940169473
Chicago,3.17566287439824,3.17586891264934,3.17600954323287,3.17483957373669,3.1712169239928,3.15902078545324,3.16601964439404,3.16357558952607,3.16884840408222,3.17485379161205,3.16550563683234,3.15613060419963,3.17320434844605
Cleveland,3.17561922744144,3.17719521205979,3.17409857122827,3.17173917984638,3.16368041085047,3.09821460937552,3.14930980422339,3.16242311104872,3.17222785900438,3.17088554206064,3.14087552634405,3.1323773491234,3.1714666893482
Colorado Springs,3.17084317851938,3.17073192799707,3.1716747342534,3.16918907224789,3.10377427992648,3.1252027309468,3.11249912766787,3.12941494356385,3.16284157503488,3.16675918891408,3.09823606216259,3.11531933696068,3.13621383032047
Columbus,3.17527746094214,3.17515041275602,3.17394720403793,3.17465611872041,3.15747362310894,3.13734692078113,3.16015738113995,3.16695544676539,3.17215661291311,3.17215681965015,3.15119588448079,3.1591971243284,3.17200045939574
Corpus Christi,3.17343626379722,3.17377426482052,3.17181842565845,3.16246300349899,3.1334409889025,3.04484316597299,3.14473419430685,3.15121079112118,3.1663707871716,3.16479384584087,3.12572703031251,3.14314678749598,3.16562683786383
Dallas,3.17562494202081,3.17584796728976,3.17458355944891,3.17484305679905,3.16325995472158,3.17007724495388,3.15873586596966,3.16566504577981,3.17512283756698,3.17334636721839,3.17068611728993,3.15840681599265,3.17474092889072
Denver,3.1706866676828,3.17594789953612,3.17446006524262,3.17558089700494,3.16414793096009,3.10616334735674,3.1547591430616,3.15575963891556,3.16248472955882,3.16980021761969,3.13832939058275,3.14431201436394,3.16585495078167
Detroit,3.17540251270843,3.17428809639691,3.17420260484677,3.16964833217355,3.15640061692481,3.13576307001562,3.15184856069944,3.1624565762451,3.17321708748417,3.17543825925934,3.12827377205373,3.14884856776078,3.17255494629531
El Paso,3.17546400684555,3.17235583966832,3.17344830234221,3.16094229519041,3.15500100927566,3.12471929884956,3.14412066732391,3.16422845388404,3.17141139892079,3.15997933620007,3.12868252789211,3.08090853064711,3.15464522210206
Fort Worth,3.17551905360172,3.17672398403094,3.17583635507674,3.17026502723899,3.16432064956566,3.16136159534033,3.16569786579414,3.16067018074401,3.17329485287959,3.17237303778089,3.16100695388547,3.16808636267829,3.17399028585479
Fresno,3.17441059533044,3.173908315302,3.1729656503747,3.16420959073858,3.12836777760613,3.06967931092176,3.13512450275912,3.14820661732609,3.16534294844385,3.16912281909227,3.13152259243479,3.13589922463368,3.16485759181163
Houston,3.17587382143939,3.17583167034507,3.17538385212708,3.17407068994946,3.17512317671996,3.16489923589751,3.16737141091886,3.16811574349054,3.17654058658582,3.17364291324143,3.16978247575257,3.16997510031114,3.17552544107215
Indianapolis,3.17234048991364,3.17570240987465,3.17234895453594,3.17143766236048,3.16288482308701,3.13958000309196,3.15133059903476,3.16053595984207,3.16812022419883,3.17294515533035,3.15545767725422,3.14747669631614,3.16897791679873
Jacksonville,3.17457944513525,3.17478877046242,3.17370272367741,3.166966648857,3.15469320457521,3.13708464224534,3.15369180511638,3.1648494273747,3.16685183070318,3.16844264536761,3.1601000325574,3.14062480820436,3.17439374482497
Kansas City,3.17500293714834,3.17655039416391,3.17166121740422,3.17327447267392,3.15389706383673,3.14692576566768,3.15666995005839,3.15834908992267,3.17012737000389,3.16601325217287,3.16022025055289,3.1533723838292,3.17174983263184
Las Vegas,3.17566940826771,3.17575698712722,3.17535772399632,3.17000313068061,3.16620767268084,3.16170333926805,3.15787232518433,3.16143982936139,3.16931826900428,3.17080371613952,3.15403896270836,3.15745387232359,3.17252786466708
Lexington,3.17237174456071,3.17122975253023,3.17282358741758,3.1649314753035,3.1366096392625,3.10609970397046,3.11128932763813,3.159886798858,3.1636341969496,3.17098822461679,3.10146080799208,3.12241046801042,3.15675328613042
Long Beach,3.17317598301746,3.17022233957468,3.17501548576538,3.17133037867797,3.14163344800868,3.07474050814133,3.11191144580196,3.15761408485309,3.16876333128998,3.17292735163734,3.14028383451226,3.14700147332871,3.16979870693503
Los Angeles,3.17545892639127,3.17560460569074,3.17629818233525,3.17648762018109,3.17434649154429,3.17101358254583,3.16269507740709,3.1648509698055,3.16674499590081,3.17463043185288,3.16453274431818,3.16371932739046,3.17472742039639
Louisville,3.16937343105849,3.17604193160586,3.1722969274319,3.1676980211803,3.15810928574966,3.14251877118746,3.15491189758879,3.16028493844767,3.17143520730739,3.17051419285832,3.14064751251907,3.13385318745264,3.16092425326184
Memphis,3.17315618621747,3.17366908909523,3.17168638515404,3.17174560977116,3.13540818228345,3.08985415855559,3.13096590906326,3.16328124687101,3.16389226521348,3.16929447301459,3.13046541023184,3.10820114937226,3.1652610862348
Mesa,3.1755005460461,3.17456333885595,3.17503253406899,3.17289718931911,3.14525674347041,3.1382258858422,3.16236444705423,3.16281633546837,3.16861824047453,3.17109730608635,3.13984811399803,3.15269574141735,3.16722129681186
Miami,3.17535942460273,3.17463213900486,3.17493272156009,3.17137884241648,3.16753505888271,3.14325872824989,3.12103644735783,3.15588028514737,3.16346435072418,3.16665203966633,3.14202882533352,3.1202790137427,3.16367238846809
