city,Hbin.00,Hbin.01,Hbin.02,Hbin.03,Hbin.04,Hbin.05,Hbin.06,Hbin.07,Hbin.08,Hbin.09,Hbin.10,Hbin.11,Hbin.12
Albuquerque,3.17345967790532,3.16982147153141,3.16551073705051,3.14352857653326,3.11495231572605,3.09338579957758,3.09902904641758,3.14688076151937,3.164201072884,3.1638994547789,3.09464004222435,3.12289630037344,3.14752450426772
Anaheim,3.17282563075892,3.17386886573827,3.17608947606655,3.17174558291059,3.15316827738605,3.15295002033738,3.12610395444919,3.16495598721107,3.16719343290429,3.14986970262277,3.14889232490811,3.11445743598554,3.16927177407972
Arlington,3.16891129294239,3.17376338292191,3.1684279427949,3.16689391814563,3.13846275979003,3.06380175071035,3.11775596197167,3.15180691161519,3.16578846846389,3.17309166799798,3.06745400287281,3.05483244400028,3.16342888112339
Atlanta,3.17098946552724,3.17696798866378,3.16916317796831,3.16765493447775,3.15015460543336,3.13529335531875,3.13316740475194,3.16139499552658,3.16885559977123,3.16923575330829,3.13076065295407,3.12415232376206,3.16697825598815
Aurora,3.17341946755976,3.16015428165578,3.16828137951373,3.14973288845789,3.06162187470812,2.92533661955215,3.06013614133908,3.13883175789548,3.16417457778247,3.12480590658175,3.01725240264175,3.09289959282046,3.13650127173028
Austin,3.17321590001688,3.17591161327486,3.17193902782273,3.17295799652582,3.16821902658485,3.13519106268995,3.14299747240496,3.16011625818683,3.17219252598635,3.16337978111487,3.15449317655141,3.14156293579682,3.17246621407163
Bakersfield,3.17265989079245,3.17250855445389,3.16633244804065,3.16256416035177,3.11617237283195,3.12323993632838,3.13854776191105,3.14970441316057,3.16699297805881,3.16118774246132,3.13847175527476,3.12132038931188,3.16142759082406
Baltimore,3.17194237870307,3.17452034809987,3.17372053392829,3.16417397646974,3.15486072515831,3.11744447078407,3.11428330904533,3.14419604901157,3.15957197601145,3.16347699809048,3.11620329351522,3.11928054365571,3.14939604143168
Boston,3.17397150254855,3.17500663381878,3.17426024894939,3.16997233757121,3.16839814780106,3.13603254610078,3.14992743354801,3.15539078875268,3.16187632220457,3.16683513576909,3.1465697787111,3.15148046531202,3.17258654367283
Charlotte,3.17396672402963,3.17354676561116,3.17574162396752,3.17323833639567,3.16609808031457,3.14099350767033,3.1557147566537,3.15553210098646,3.17299122307894,3.17125674964979,3.14664101232008,3.15710553751539,3.17010916886937
Chicago,3.17479289881851,3.17581847670796,3.17507052406689,3.17410094039543,3.16736649750915,3.15484388589889,3.16344432350651,3.16179436886802,3.17112574641863,3.17517395011851,3.16649183046243,3.16059198142548,3.17109355811458
Cleveland,3.17533423679173,3.17626725996634,3.17221606341338,3.16925465688826,3.15609559906171,3.09673170219244,3.13990146446212,3.16278996868316,3.16934080886508,3.16890741464883,3.11422336503275,3.12747916226247,3.16714666261418
Colorado Springs,3.17219592374267,3.16890782730643,3.17299159554597,3.16129144236548,3.11480099509408,3.10049473974897,3.11683272950543,3.12687239953176,3.16194793475469,3.15890023930739,3.05508305712781,3.12095497338341,3.11546285781811
Columbus,3.17479151366561,3.17471171228913,3.17270380008812,3.17347809865287,3.14985277129212,3.10840275398101,3.14410324765603,3.16429719612964,3.17203510300942,3.17121875173503,3.15244920894526,3.15720112732952,3.16879574731524
Corpus Christi,3.1712102034685,3.1719796715418,3.17030450886631,3.15470796207754,3.13461160683787,3.07395528579594,3.12741672719924,3.14643458730784,3.16707449934832,3.14928740180571,3.09889226012425,3.13956872417294,3.15644350710928
Dallas,3.17519481402402,3.17551630870468,3.17402073101603,3.17424006562479,3.14835109095044,3.16514373578138,3.15778926390707,3.16422541861228,3.17646860066086,3.17407850526929,3.16995113098606,3.15528195255467,3.17521792943278
Denver,3.16912927189979,3.17482848798467,3.17397823252839,3.17489586650937,3.15908329747031,3.08628827399454,3.15083828572953,3.15381920742198,3.15928494623531,3.16958060805471,3.13972432052593,3.14477400208241,3.16546497245074
Detroit,3.17500653243053,3.17178243244301,3.17270237470866,3.16462731088271,3.14059550659909,3.11092587595764,3.13945725987583,3.16415522587488,3.172778811634,3.17402120036853,3.12166576364119,3.13607075178638,3.17140483710327
El Paso,3.17304469922095,3.16890846121557,3.17112317993818,3.14502346040292,3.10772660736844,3.08269742311112,3.1410950918218,3.16521797959167,3.16781168110046,3.15404525467808,3.08025618366758,3.06489243220841,3.13096802301465
Fort Worth,3.17506571224401,3.17651070546908,3.17511135676867,3.16971089480389,3.15544744068545,3.16319289290747,3.15781681400519,3.15930830072128,3.1748749452496,3.17199957065639,3.15939054962685,3.16557263479441,3.17267563857947
