city,face.present.rate.alt,face.present.rate.alt.tree,solo.face.rate.alt,solo.face.rate.alt.tree,social.face.rate.alt,social.face.rate.alt.tree
Albuquerque,3.16989675657597,3.16484661677491,3.16927204864463,3.16165888864997,3.16086085271782,3.04359009343516
Anaheim,3.16984209589966,3.15766609026779,3.17005968266405,3.15475744977126,3.15887229106415,3.1163296840583
Arlington,3.156169431097,3.14743140346781,3.1578593956145,3.14482413510866,3.13061783155497,3.06015860282606
Atlanta,3.16653635036276,3.16353851161588,3.16668364000489,3.16095086990217,3.1588158089175,3.13908900292659
Aurora,3.17185400217241,3.14480453182018,3.17139693337612,3.14955438562252,3.13254581454469,2.97054686746755
Austin,3.17134685720513,3.16592195399028,3.1715462938589,3.16646761395987,3.16674104071021,3.14579554567127
Bakersfield,3.17540654263033,3.15931706211395,3.17447106748538,3.1548396928933,3.15845223310343,3.03198572728766
Baltimore,3.16786120634776,3.14932362345729,3.16584149207378,3.14798133172639,3.16351811923753,3.10232933381005
Boston,3.16134482259582,3.15885624219304,3.16164833082051,3.15833414719953,3.15168085662218,3.129484164195
Charlotte,3.17424715477302,3.17346545699683,3.17328317102218,3.17346971918777,3.16989307287791,3.1264974452634
Chicago,3.16941232793221,3.16966200474804,3.17032234172859,3.16927782905182,3.16061645671133,3.15096837261379
Cleveland,3.16778763640821,3.15094531404012,3.17124789570611,3.15327765798017,3.11525376043659,3.08772135607431
Colorado Springs,3.1619557910439,3.12210491259219,3.16199099014723,3.12362564584154,3.14808361399826,2.99643662149746
Columbus,3.17085840922988,3.15980336371214,3.17075687225387,3.16141446106524,3.16085089952607,3.05187284057172
Corpus Christi,3.17382313209022,3.16668115024063,3.17429369491222,3.16611223501058,3.14782708412527,3.0755278649523
Dallas,3.17463524450436,3.17226084036769,3.17437542135804,3.17229883006635,3.17177467260894,3.16871279106413
Denver,3.16902256412378,3.16602516205809,3.16991085293903,3.1657877700707,3.16001778950191,3.14004362652156
Detroit,3.17294878251774,3.15813423643522,3.17204116492119,3.16179278827698,3.16077275423392,3.03289842139453
El Paso,3.17216175494328,3.16645305287777,3.17397008791237,3.16605336938717,3.13473246942804,2.99677446520726
Fort Worth,3.1733135018077,3.17365643578339,3.17277387059253,3.17362010573713,3.17008444276659,3.16457031905921
Fresno,3.17363655478756,3.16349058533022,3.17381877019112,3.1595296135149,3.15868167535404,3.00382358594831
Houston,3.17473150739841,3.17392616342293,3.17470774734709,3.1735343597668,3.17276906277613,3.16636884747148
Indianapolis,3.16753847673534,3.16419308460203,3.16613876023476,3.16354453885438,3.16368417452397,3.11475394901136
Jacksonville,3.17070134650651,3.1621860383105,3.17059596545347,3.15995766773529,3.16516673575351,3.12430848037741
Kansas City,3.17135712644642,3.15971183009014,3.17228305088062,3.16021694823199,3.1506448471311,3.12277990363282
Las Vegas,3.17512791747649,3.16930916411916,3.17454784911059,3.16906324286943,3.17143046875954,3.10502128146991
Lexington,3.17190741596666,3.16224644115751,3.17126910998586,3.160521838331,3.16499034507203,3.0554928256061
Long Beach,3.17139006754577,3.16854070987566,3.17239190054371,3.16760640397099,3.16128027580536,3.11278370876148
Los Angeles,3.1718333112557,3.17137886915743,3.1726363305845,3.17164014471883,3.16754021055046,3.15510271040069
Louisville,3.17037049598585,3.15995739203095,3.17034067184874,3.15486296861789,3.16571125980113,3.07460837612222
Memphis,3.17153287821306,3.15703902524463,3.17109216144829,3.15470347535431,3.16423000808024,3.09568943366649
Mesa,3.17308188612282,3.16632052378181,3.17281541480153,3.16741293465825,3.16045242707063,3.11041319572882
Miami,3.17041966111544,3.16509860509372,3.17081933673977,3.16278000526321,3.16123819604636,3.11868895271962
Milwaukee,3.17147166891703,3.16588658967205,3.17172835142143,3.16715130102751,3.15958645749641,3.04186578977686
Minneapolis,3.15434870585019,3.14477581332821,3.15854743753425,3.14005969354231,3.12319167769359,3.09264526266408
Nashville,3.17001867818042,3.16859801999376,3.17211613643189,3.16826725561958,3.15226498113281,3.11762658301413
New Orleans,3.17017381718655,3.16191998643941,3.17044328519397,3.16274710400321,3.16101297907635,3.06258622438671
New York,3.17077045876095,3.17208603618509,3.17109162365787,3.17124276395597,3.16879335407321,3.15851808624696
Oakland,3.16167403537876,3.13171033983648,3.158147054148,3.12994527273825,3.1481910151837,2.99645263377349
