city,face.present.rate.alt,face.present.rate.alt.tree,solo.face.rate.alt,solo.face.rate.alt.tree,social.face.rate.alt,social.face.rate.alt.tree
Albuquerque,3.17000496599421,3.16742452781132,3.16892034645969,3.16547306902888,3.15156833546062,3.01579444059983
Anaheim,3.16955067998649,3.16162427456432,3.1724861590737,3.16167718349612,3.1453318199996,3.08703939643483
Arlington,3.1624548611733,3.14604470323882,3.16178584118379,3.14185386364308,3.15119172899597,3.01123931181277
Atlanta,3.16406547191403,3.1573183186599,3.16383517931501,3.15370922680232,3.15398130352614,3.11072685677636
Aurora,3.17443406195271,3.13458627048003,3.17304758108004,3.13358929840023,3.12749410454888,3.00763985926051
Austin,3.17165215949275,3.16348372826254,3.17067345669928,3.16318926515797,3.1691754846891,3.14173577458331
Bakersfield,3.17195714351892,3.15040212029138,3.17162161872848,3.14595833681036,3.15532309947123,2.98414796467469
Baltimore,3.16765601625814,3.14238992457755,3.16528613397605,3.14242722267199,3.15723726197469,3.03508180673199
Boston,3.1646828157179,3.16403887089127,3.16419636293588,3.16396664626782,3.1554346284949,3.11955789372282
Charlotte,3.17402900087359,3.1749764866356,3.17235946422703,3.17496620604986,3.17080739248213,3.13026149533691
Chicago,3.17010606951693,3.16940341084614,3.16959719890153,3.16916103762505,3.16441794477436,3.15504542561013
Cleveland,3.16552383308204,3.14743376700576,3.17061344169271,3.14776845084275,3.0936745596884,3.10523405152562
Colorado Springs,3.16091799920081,3.11994219091936,3.16089171844341,3.11914868719653,3.13983517801639,2.9523356103221
Columbus,3.17108677049855,3.16158512811067,3.16939722058488,3.16484757182464,3.15309403484377,2.96482503096661
Corpus Christi,3.17397836557199,3.15771053343552,3.17417992893207,3.15472628863533,3.13985234775947,3.07129576841
Dallas,3.17542248690627,3.16844226961165,3.17486023262882,3.16838856083169,3.17041132982152,3.1623897703464
Denver,3.16915050059673,3.16666275075207,3.16892832545407,3.16625692007144,3.16348844316542,3.10340973360619
Detroit,3.17214783528123,3.15590560410954,3.17034151339144,3.16069908472942,3.16143403263859,3.0162214439438
El Paso,3.17027847957914,3.16007253052425,3.1719834522356,3.15621249717886,3.12459381838991,3.05281738141761
Fort Worth,3.17389471281346,3.17284721577158,3.17326437610207,3.17272571020157,3.17059345890124,3.1624647036543
Fresno,3.17338053379307,3.15113020097383,3.17322309087932,3.14803679822587,3.16284890221219,3.02446997193703
Houston,3.17551619407577,3.17304455139726,3.17537625812182,3.17253110793062,3.17325979660396,3.16519943991125
Indianapolis,3.16920260033577,3.15438833013246,3.16827582982444,3.15546201278916,3.16011027825536,3.09533713331223
Jacksonville,3.17109526073072,3.1572079347598,3.17035172240728,3.15515308252953,3.16591433851388,3.10710434022237
Kansas City,3.17212839456119,3.16062015918041,3.17201098166008,3.16223927128745,3.1561960226056,3.11078857572336
Las Vegas,3.1738826038315,3.15760762142393,3.17341916013197,3.15673718670205,3.16689192415041,3.11206915840207
Lexington,3.17224943393271,3.14414437223892,3.17130986269157,3.1442688809862,3.16169633057747,3.03275331502673
Long Beach,3.17011985965758,3.16474316703736,3.17025244798469,3.16245171652481,3.16316066011597,3.07485496795907
