city,num.rows,num.faces.alt,face.present.alt,num.people.social.faces.alt,solo.face.alt,social.face.alt,num.faces.alt.tree,face.present.alt.tree,solo.face.alt.tree,social.face.alt.tree,num.people.social.faces.alt.tree,bin.0.count,num.unique.images,num.unique.face.images.alt,num.unique.face.images.alt.tree
Albuquerque,40291,10250,8234,3510,6740,1494,1685,1582,1490,92,195,11668,39845,8139,1558
Anaheim,96452,25434,19347,10710,14724,4623,4265,3890,3572,318,693,24992,95855,19232,3873
Arlington,132146,26426,20170,11008,15418,4752,4416,4027,3672,355,744,28612,69496,10747,2142
Atlanta,98322,23390,17871,9753,13637,4234,3535,3197,2898,299,637,25321,97431,17684,3157
Aurora,22048,5801,4609,2056,3745,864,999,901,827,74,172,6843,21675,4531,879
Austin,167255,40237,31128,15895,24342,6786,6580,5984,5478,506,1102,44969,165765,30817,5917
Bakersfield,39582,10894,8753,3712,7182,1571,1876,1724,1596,128,280,12173,39161,8634,1697
Baltimore,56520,13040,10530,4433,8607,1923,1830,1713,1609,104,221,15785,55747,10367,1688
Boston,186484,39129,30317,15462,23667,6650,6274,5747,5270,477,1004,47368,184389,29971,5658
Charlotte,94024,23927,18610,9246,14681,3929,3944,3599,3311,288,633,26321,92194,18077,3468
Chicago,334422,79116,61339,31066,48050,13289,12636,11648,10801,847,1835,91916,331146,60655,11512
Cleveland,71055,18757,14592,7293,11464,3128,3043,2758,2514,244,529,20395,69964,14384,2720
Colorado Springs,30502,7329,5967,2422,4907,1060,1298,1201,1114,87,184,8588,30122,5903,1191
Columbus,111506,28677,22467,10738,17939,4528,4651,4305,3998,307,653,32883,109794,22119,4247
Corpus Christi,34199,9632,7562,3582,6050,1512,1679,1550,1440,110,239,10342,33632,7431,1525
Dallas,290407,78483,61279,30066,48417,12862,13177,12059,11110,949,2067,83527,286602,60443,11870
Denver,96151,22156,17485,8180,13976,3509,3623,3329,3078,251,545,26050,95137,17297,3292
Detroit,71079,17541,13891,6337,11204,2687,2683,2439,2249,190,434,21554,70087,13680,2380
El Paso,32547,8320,6553,2985,5335,1218,1472,1362,1265,97,207,10452,32000,6458,1345
Fort Worth,271916,74513,58296,28360,46153,12143,12752,11560,10548,1012,2204,76424,268800,57664,11427
Fresno,44687,11282,8929,4076,7206,1723,1850,1687,1559,128,291,13465,44173,8767,1665
Houston,405051,106606,83846,39523,67083,16763,17738,16226,14945,1281,2793,121570,399472,82481,15935
Indianapolis,84863,20669,16147,7946,12723,3424,3383,3078,2814,264,569,22519,83844,15988,3031
Jacksonville,79850,20533,16138,7592,12941,3197,3330,3065,2838,227,492,22914,78837,15937,3015
Kansas City,93991,25315,19322,10505,14810,4512,4205,3835,3514,321,691,25862,92678,19041,3781
Las Vegas,119437,30382,24160,10774,19608,4552,4983,4566,4212,354,771,35235,118339,23903,4506
Lexington,39100,10094,7822,3946,6148,1674,1628,1489,1366,123,262,10513,38547,7735,1478
Long Beach,122521,30729,24032,11520,19209,4823,5100,4689,4351,338,749,35772,83690,16133,3122
Los Angeles,810046,207285,160827,80586,126699,34128,33545,30737,28391,2346,5154,221569,765629,151606,28902
Louisville,50236,12963,10065,5059,7904,2161,2208,2019,1855,164,353,14750,49429,9903,1985
Memphis,49207,12651,9784,5058,7593,2191,2017,1810,1626,184,391,13028,48677,9672,1774
Mesa,73567,19994,15556,7795,12199,3357,3502,3222,2974,248,528,20737,72913,15441,3193
Miami,83999,21888,16419,9475,12413,4006,3502,3194,2929,265,573,21748,83293,16262,3165
Milwaukee,75941,19920,15545,7659,12261,3284,3277,2966,2707,259,570,20830,74720,15316,2912
Minneapolis,51944,12342,9146,5539,6803,2343,2067,1850,1672,178,395,12714,51387,9067,1825
Nashville,102341,27583,20598,12171,15412,5186,4703,4242,3840,402,863,26838,101447,20336,4203
New Orleans,69473,16047,12572,6122,9925,2647,2500,2280,2089,191,411,18051,68793,12403,2225
New York,1034643,249258,193485,97133,152125,41360,41910,38350,35311,3039,6599,280040,1024060,191217,37812
Oakland,50283,9566,7657,3367,6199,1458,1516,1401,1299,102,217,12318,49756,7564,1385
Oklahoma City,94246,25089,19639,9589,15500,4139,4160,3801,3497,304,663,26931,93138,19390,3740
Omaha,50814,13512,10400,5476,8036,2364,2251,2052,1876,176,375,14301,50259,10299,2032
Philadelphia,229252,58309,46010,21618,36691,9319,8900,8194,7584,610,1316,66039,226483,45393,8036
Phoenix,177377,45246,35215,17588,27658,7557,7930,7312,6776,536,1154,49067,175772,34912,7238
Portland,93729,21759,17191,7999,13760,3431,3792,3477,3215,262,577,24802,93051,17033,3461
Raleigh,53624,13384,10364,5316,8068,2296,2189,1997,1845,152,344,14566,52841,10162,1965
Riverside,44557,11872,9489,4086,7786,1703,2059,1881,1736,145,323,13688,44149,9387,1861
Sacramento,53649,13412,10593,4900,8512,2081,2208,2000,1832,168,376,14924,53026,10457,1978
San Antonio,228038,62362,48802,23561,38801,10001,10889,9958,9187,771,1702,69577,224626,48036,9752
San Diego,227794,54041,41602,21513,32528,9074,9111,8242,7527,715,1584,59523,225783,41123,8121
San Francisco,192470,32607,25019,13271,19336,5683,5127,4680,4285,395,842,42161,191569,24856,4639
San Jose,109444,27900,20688,11893,16007,4681,4927,4287,3794,493,1133,29317,108419,20430,4224
Santa Ana,25750,6661,5159,2609,4052,1107,1091,1011,945,66,146,7086,25525,5119,1004
Seattle,78139,14557,11296,5775,8782,2514,2447,2241,2049,192,398,17045,77625,11202,2216
St. Louis,41098,9639,7411,3956,5683,1728,1455,1329,1211,118,244,10806,40718,7354,1323
