city,num.rows,num.faces.alt,face.present.alt,num.people.social.faces.alt,solo.face.alt,social.face.alt,num.faces.alt.tree,face.present.alt.tree,solo.face.alt.tree,social.face.alt.tree,num.people.social.faces.alt.tree,bin.0.count,num.unique.images,num.unique.face.images.alt,num.unique.face.images.alt.tree
Albuquerque,28772,7439,5954,2555,4884,1070,1222,1143,1075,68,147,8523,28433,5872,1119
Anaheim,66504,17207,13254,6920,10287,2967,2878,2636,2435,201,443,17839,66037,13164,2623
Arlington,91857,17984,13870,7237,10747,3123,2956,2716,2496,220,460,20418,48339,7415,1451
Atlanta,65516,15179,11822,5946,9233,2589,2298,2100,1921,179,377,17273,64853,11672,2072
Aurora,15993,4170,3343,1436,2734,609,735,661,606,55,129,5072,15697,3280,640
Austin,115992,27478,21574,10312,17166,4408,4568,4180,3844,336,724,32094,114901,21352,4122
Bakersfield,28523,7824,6322,2591,5233,1089,1357,1249,1163,86,194,8952,28195,6224,1228
Baltimore,38819,8920,7280,2895,6025,1255,1246,1167,1098,69,148,11259,38243,7158,1148
Boston,129667,26625,20897,10001,16624,4273,4317,3968,3650,318,667,33934,128063,20634,3903
Charlotte,64975,16363,12874,6061,10302,2572,2750,2505,2303,202,447,18676,63583,12429,2393
Chicago,229988,53412,42008,19920,33492,8516,8619,7976,7427,549,1192,65252,227435,41471,7873
Cleveland,49285,12686,10035,4625,8061,1974,2080,1897,1746,151,334,14497,48459,9873,1864
Colorado Springs,22063,5297,4355,1670,3627,728,925,859,801,58,124,6413,21777,4314,855
Columbus,78125,19344,15400,6805,12539,2861,3107,2879,2682,197,425,23729,76757,15125,2835
Corpus Christi,24423,6842,5403,2477,4365,1038,1210,1116,1038,78,172,7590,23970,5301,1094
Dallas,207451,55011,43530,20106,34905,8625,9355,8591,7954,637,1401,61159,204494,42857,8436
Denver,66751,15337,12183,5517,9820,2363,2540,2335,2159,176,381,18481,66015,12044,2309
Detroit,49320,11875,9546,4062,7813,1733,1840,1682,1556,126,284,15305,48559,9396,1641
El Paso,23079,5838,4656,2008,3830,826,1078,1000,927,73,151,7532,22657,4579,990
Fort Worth,194248,52890,41807,19273,33617,8190,9102,8277,7596,681,1506,56211,191838,41345,8179
Fresno,32161,7960,6366,2757,5203,1163,1318,1196,1102,94,216,9833,31768,6230,1179
Houston,289450,75555,59848,27213,48342,11506,12714,11665,10781,884,1933,89390,285112,58799,11438
Indianapolis,56954,13359,10628,4768,8591,2037,2181,1983,1820,163,361,15712,56196,10510,1948
Jacksonville,56926,14691,11648,5245,9446,2202,2474,2281,2117,164,357,16673,56130,11495,2235
Kansas City,65040,17265,13373,6821,10444,2929,2909,2658,2436,222,473,18391,64074,13149,2616
Las Vegas,85249,21654,17327,7479,14175,3152,3557,3269,3025,244,532,25621,84396,17134,3221
Lexington,27716,6793,5367,2473,4320,1047,1096,1009,934,75,162,7769,27270,5299,1004
Long Beach,87412,21802,17188,7902,13900,3288,3615,3340,3115,225,500,26225,59822,11528,2222
Los Angeles,567868,144926,113275,54723,90203,23072,23854,21843,20182,1661,3672,159838,536098,106688,20541
Louisville,34884,8809,6946,3225,5584,1362,1529,1401,1297,104,232,10522,34274,6824,1377
Memphis,34078,8590,6675,3369,5221,1454,1427,1272,1135,137,292,9331,33635,6575,1239
Mesa,53347,14289,11254,5338,8951,2303,2546,2352,2182,170,364,15584,52869,11167,2333
Miami,57962,15120,11413,6405,8715,2698,2472,2260,2083,177,389,15484,57446,11288,2234
Milwaukee,52581,13629,10733,5061,8568,2165,2309,2093,1917,176,392,15005,51593,10549,2060
Minneapolis,35063,8018,6049,3397,4621,1428,1341,1202,1092,110,249,8874,34599,5980,1178
Nashville,70224,18528,13999,7818,10710,3289,3179,2865,2596,269,583,18861,69522,13784,2834
New Orleans,46447,10401,8264,3744,6657,1607,1630,1487,1364,123,266,12468,45974,8154,1448
New York,722085,172542,134937,65447,107095,27842,29358,26867,24767,2100,4591,200169,714052,133227,26477
Oakland,33584,6495,5226,2230,4265,961,1015,943,881,62,134,8542,33133,5144,931
Oklahoma City,67350,17700,14048,6425,11275,2773,2941,2692,2488,204,453,19772,66499,13842,2652
Omaha,35959,9189,7216,3477,5712,1504,1556,1425,1309,116,247,10495,35526,7144,1408
Philadelphia,159298,40150,32055,14221,25929,6126,6154,5677,5266,411,888,47548,157139,31587,5557
Phoenix,125542,31734,24949,11879,19855,5094,5648,5219,4853,366,795,35785,124342,24742,5175
Portland,65339,14983,11979,5282,9701,2278,2574,2386,2222,164,352,17706,64807,11849,2381
Raleigh,37929,9362,7373,3503,5859,1514,1509,1383,1282,101,227,10597,37315,7207,1363
Riverside,32840,8647,6952,2908,5739,1213,1539,1398,1283,115,256,10341,32535,6875,1386
Sacramento,38235,9452,7536,3344,6108,1428,1583,1439,1326,113,257,10869,37737,7421,1422
San Antonio,162510,43770,34703,15807,27963,6740,7696,7055,6520,535,1176,50764,159919,34103,6890
San Diego,158735,37039,28784,14217,22822,5962,6290,5688,5194,494,1096,42777,157182,28420,5591
San Francisco,132850,22060,17078,8715,13345,3733,3499,3202,2943,259,556,29595,132138,16954,3169
San Jose,77251,19397,14470,8049,11348,3122,3515,3037,2678,359,837,21357,76466,14262,2982
Santa Ana,18398,4691,3668,1775,2916,752,776,718,673,45,103,5194,18236,3642,715
Seattle,51625,9333,7336,3536,5797,1539,1611,1479,1358,121,253,11398,51252,7267,1466
St. Louis,27234,6268,4903,2432,3836,1067,961,875,795,80,166,7445,26931,4865,870
Tampa,76819,20013,15664,7629,12384,3280,3495,3165,2881,284,614,21492,76020,15476,3120
Tucson,42313,10812,8577,3911,6901,1676,1771,1644,1537,107,234,12774,41837,8468,1617
Tulsa,36378,10075,7861,3884,6191,1670,1691,1538,1403,135,288,10712,36082,7798,1522
Virginia Beach,30018,7164,5823,2344,4820,1003,1128,1025,937,88,191,8851,29613,5742,1016
Washington,166556,33551,26306,12781,20770,5536,5383,4938,4532,406,851,39305,122327,19709,3662
Wichita,37657,11264,8624,4602,6662,1962,1913,1726,1568,158,345,10956,37127,8508,1705
